"role","job_link","department","city_1","city_2"
"Principal Systems Engineer, FL","https://boards.greenhouse.io/cloudflare/jobs/7267426?gh_jid=7267426","Engineering","Lisbon, Portugal","London, UK"
"Principal Systems Engineer, IPC","https://boards.greenhouse.io/cloudflare/jobs/7267394?gh_jid=7267394","Engineering","Lisbon, Portugal","London, UK"
"Senior Dev GTM","https://boards.greenhouse.io/cloudflare/jobs/7421357?gh_jid=7421357","Engineering","Atlanta, US","Austin, US"
"Senior Engineering Manager, Billing","https://boards.greenhouse.io/cloudflare/jobs/7203471?gh_jid=7203471","Engineering","Austin, US",""
"Senior Frontend Software Engineer - Billing","https://boards.greenhouse.io/cloudflare/jobs/7379584?gh_jid=7379584","Engineering","Lisbon, Portugal","London, UK"
"Senior Manager, Solutions Architecture, AI & Developer Platform","https://boards.greenhouse.io/cloudflare/jobs/7469508?gh_jid=7469508","Engineering","Austin, US","San Francisco, US"
"Senior Software Engineer - Backend","https://boards.greenhouse.io/cloudflare/jobs/7244991?gh_jid=7244991","Engineering","Bengaluru, India",""
"Senior Software Engineer - Billing","https://boards.greenhouse.io/cloudflare/jobs/7282689?gh_jid=7282689","Engineering","Lisbon, Portugal","London, UK"
"Senior Software Engineer - Cloudflare One","https://boards.greenhouse.io/cloudflare/jobs/7116731?gh_jid=7116731","Engineering","Bengaluru, India",""
"Senior Software Engineer - Egress","https://boards.greenhouse.io/cloudflare/jobs/7463793?gh_jid=7463793","Engineering","Lisbon, Portugal","London, UK"
"Senior Software Engineer - Network Dev","https://boards.greenhouse.io/cloudflare/jobs/7167953?gh_jid=7167953","Engineering","Bengaluru, India",""
"Senior Software Engineer - Registrar","https://boards.greenhouse.io/cloudflare/jobs/7496341?gh_jid=7496341","Engineering","Austin, US",""
"Senior Software Engineer - Registrar","https://boards.greenhouse.io/cloudflare/jobs/7574493?gh_jid=7574493","Engineering","Lisbon, Portugal",""
"Senior Software Engineer - Traffic Management","https://boards.greenhouse.io/cloudflare/jobs/7463839?gh_jid=7463839","Engineering","Lisbon, Portugal","London, UK"
"Senior Software Engineer (Full Stack)","https://boards.greenhouse.io/cloudflare/jobs/7566807?gh_jid=7566807","Engineering","Bengaluru, India",""
"Senior Software Engineer, Enterprise Readiness","https://boards.greenhouse.io/cloudflare/jobs/7521014?gh_jid=7521014","Engineering","Atlanta, US","Austin, US"
"Senior Software Engineer, Network Performance & Reliability","https://boards.greenhouse.io/cloudflare/jobs/7446340?gh_jid=7446340","Engineering","Austin, US",""
"Senior Solutions Engineer, Shanghai","https://boards.greenhouse.io/cloudflare/jobs/7765245?gh_jid=7765245","Engineering","Beijing, China",""
"Senior Systems Engineer, Cloud App Control","https://boards.greenhouse.io/cloudflare/jobs/7606636?gh_jid=7606636","Engineering","Sydney, Australia",""
"Senior Systems Engineer, Edge","https://boards.greenhouse.io/cloudflare/jobs/7068271?gh_jid=7068271","Engineering","Bengaluru, India",""
"Senior Threat Intelligence Engineer","https://boards.greenhouse.io/cloudflare/jobs/7558153?gh_jid=7558153","Engineering","Austin, US",""
"Software Engineer - Data Security","https://boards.greenhouse.io/cloudflare/jobs/6866851?gh_jid=6866851","Engineering","Lisbon, Portugal","London, UK"
"Software Engineer - Load Balancing","https://boards.greenhouse.io/cloudflare/jobs/7404432?gh_jid=7404432","Engineering","Austin, US",""
"Software Engineer - Network Platforms","https://boards.greenhouse.io/cloudflare/jobs/7541032?gh_jid=7541032","Engineering","Lisbon, Portugal","London, UK"
"Software Engineer - Platforms & Productivity","https://boards.greenhouse.io/cloudflare/jobs/6972536?gh_jid=6972536","Engineering","Bengaluru, India",""
"Software Engineer - Registrar","https://boards.greenhouse.io/cloudflare/jobs/7495224?gh_jid=7495224","Engineering","Austin, US",""
"Software Engineer - Security Platform","https://boards.greenhouse.io/cloudflare/jobs/7053411?gh_jid=7053411","Engineering","Atlanta, US","Austin, US"
"Software Engineer - Traffic Management","https://boards.greenhouse.io/cloudflare/jobs/7469429?gh_jid=7469429","Engineering","Lisbon, Portugal","London, UK"
"Software Engineer - Traffic Management","https://boards.greenhouse.io/cloudflare/jobs/7477711?gh_jid=7477711","Engineering","Austin, US",""
"Software Engineer- Resiliency","https://boards.greenhouse.io/cloudflare/jobs/6980179?gh_jid=6980179","Engineering","Bengaluru, India",""
"Software Engineer- Resiliency","https://boards.greenhouse.io/cloudflare/jobs/7748727?gh_jid=7748727","Engineering","Bengaluru, India",""
"Software Engineer, Cloudforce One","https://boards.greenhouse.io/cloudflare/jobs/7309174?gh_jid=7309174","Engineering","Austin, US","Lisbon, Portugal"
"Software Engineer, Developer Tools and Productivity","https://boards.greenhouse.io/cloudflare/jobs/7434052?gh_jid=7434052","Engineering","London, UK",""
"Software Engineer, Enterprise Integrations","https://boards.greenhouse.io/cloudflare/jobs/7336735?gh_jid=7336735","Engineering","Austin, US",""
"Software Engineer, Global Resource Management","https://boards.greenhouse.io/cloudflare/jobs/7340134?gh_jid=7340134","Engineering","Austin, US",""
"Software Engineer, Growth","https://boards.greenhouse.io/cloudflare/jobs/6885717?gh_jid=6885717","Engineering","Atlanta, US","Austin, US"
"Software Engineer, Identity Access Management","https://boards.greenhouse.io/cloudflare/jobs/6621615?gh_jid=6621615","Engineering","Austin, US",""
"Software Engineer, Network Performance & Reliability","https://boards.greenhouse.io/cloudflare/jobs/7446310?gh_jid=7446310","Engineering","Austin, US",""
"Software Engineer, Service Automation (Kubernetes)","https://boards.greenhouse.io/cloudflare/jobs/7066923?gh_jid=7066923","Engineering","Austin, US",""
