"product-link href","media-image__image src","product-link","money-amount__main","price-current__discount-percentage","money-amount__main 2"
"https://www.zara.com/us/en/leather-chelsea-boots-p12000720.html","https://static.zara.net/assets/public/9067/906e/fdb049fd85cd/9d08c66ccd6e/12000720002-e1/12000720002-e1.jpg?ts=1763048749733&w=474","LEATHER CHELSEA BOOTS","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/leather-chelsea-boots-p12014620.html","https://static.zara.net/assets/public/d7ab/e20d/bf8048e0b4b2/1b80e456fb47/12014621700-e1/12014621700-e1.jpg?ts=1757063831582&w=474","LEATHER CHELSEA BOOTS","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/relaxed-fit-cargo-pants-p00108310.html","https://static.zara.net/assets/public/5a2b/1cdc/c424450491c6/fa3b576905a6/00108310506-e1/00108310506-e1.jpg?ts=1765538450370&w=474","RELAXED FIT CARGO PANTS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/recco--waterproof-ski-shell-jacket-p03286403.html","https://static.zara.net/assets/public/c51a/3644/23034bd98a3c/573907de93d7/03286403600-e1/03286403600-e1.jpg?ts=1763730613167&w=474","RECCO® WATERPROOF SHELL SKI TECHNICAL JACKET","$ 249.00","-32%","$ 169.00"
"https://www.zara.com/us/en/recco--waterproof-ski-shell-jacket-p03286403.html","https://static.zara.net/assets/public/b196/94d5/1c9c4077a385/98d893a16423/03286403500-e1/03286403500-e1.jpg?ts=1763730624612&w=474","RECCO® WATERPROOF SKI SHELL JACKET","$ 249.00","-32%","$ 169.00"
"https://www.zara.com/us/en/contrast-collar-polo-sweatshirt-p00526310.html","https://static.zara.net/assets/public/ef04/757b/f0504fd4abef/1dfef6251498/00526310030-e1/00526310030-e1.jpg?ts=1767089868874&w=474","CONTRAST COLLAR POLO SWEATSHIRT","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/contrast-sole-sneakers-p12289620.html","https://static.zara.net/assets/public/f433/a7a8/a58c4ddbada4/554376c7320b/12289620001-e1/12289620001-e1.jpg?ts=1763052363471&w=474","CONTRAST SOLE SNEAKERS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/dress-chelsea-boots-p12004620.html","https://static.zara.net/assets/public/1f0c/d1a7/6fb34c919dea/bad0de265761/12004620800-e1/12004620800-e1.jpg?ts=1759305580768&w=474","DRESS CHELSEA BOOTS","$ 89.90","-40%","$ 53.94"
"https://www.zara.com/us/en/wide-fit-technical-jogger-pants-p01437361.html","https://static.zara.net/assets/public/f54c/211f/0f79463b87d0/16738213e0c3/01437361922-e1/01437361922-e1.jpg?ts=1760963683657&w=474","TECHNICAL WIDE FIT JOGGER PANTS","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/flowy-belted-pants-p07484255.html","https://static.zara.net/assets/public/d435/dd75/fb95406dba63/c4aadb589fc5/07484255533-e1/07484255533-e1.jpg?ts=1767868899751&w=474","FLOWY BELTED PANTS","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/washed-straight-fit-pants-p03286405.html","https://static.zara.net/assets/public/c93b/aadd/537a45cdb0d3/11e3baaa1c7d/03286405820-e1/03286405820-e1.jpg?ts=1770226872362&w=474","WASHED STRAIGHT FIT PANTS","$ 69.90","-40%","$ 41.94"
